# x psi_r psi_i psi2 
 3.023023e-01  2.034400e-02  2.211654e-01 4.932801e-02
 3.033033e-01 -3.374422e-02  2.380138e-01 5.778924e-02
 3.043043e-01 -9.499563e-02  2.419353e-01 6.755684e-02
 3.053053e-01 -1.604094e-01  2.303803e-01 7.880623e-02
 3.063063e-01 -2.261482e-01  2.014670e-01 9.173198e-02
 3.073073e-01 -2.876770e-01  1.542435e-01 1.065491e-01
 3.083083e-01 -3.399809e-01  8.892448e-02 1.234946e-01
 3.093093e-01 -3.778603e-01  7.080173e-03 1.428285e-01
 3.103103e-01 -3.962925e-01 -8.824848e-02 1.648355e-01
 3.113113e-01 -3.908432e-01 -1.925294e-01 1.898260e-01
 3.123123e-01 -3.581022e-01 -2.998330e-01 2.181370e-01
 3.133133e-01 -2.961128e-01 -4.030518e-01 2.501336e-01
 3.143143e-01 -2.047591e-01 -4.942499e-01 2.862092e-01
 3.153153e-01 -8.607053e-02 -5.651358e-01 3.267866e-01
 3.163163e-01  5.559190e-02 -6.076407e-01 3.723177e-01
 3.173173e-01  2.135062e-01 -6.145724e-01 4.232842e-01
 3.183183e-01  3.787420e-01 -5.803029e-01 4.801969e-01
 3.193193e-01  5.405132e-01 -5.014386e-01 5.435952e-01
 3.203203e-01  6.867333e-01 -3.774165e-01 6.140459e-01
 3.213213e-01  8.047584e-01 -2.109631e-01 6.921415e-01
 3.223223e-01  8.822862e-01 -8.359644e-03 7.784988e-01
 3.233233e-01  9.083597e-01  2.205404e-01 8.737555e-01
 3.243243e-01  8.744081e-01  4.625776e-01 9.785675e-01
 3.253253e-01  7.752430e-01  7.018573e-01 1.093605e+00
 3.263263e-01  6.099218e-01  9.206219e-01 1.219549e+00
 3.273273e-01  3.823861e-01  1.100393e+00 1.357085e+00
 3.283283e-01  1.017904e-01  1.223330e+00 1.506897e+00
 3.293293e-01 -2.175493e-01  1.273710e+00 1.669664e+00
 3.303303e-01 -5.566329e-01  1.239440e+00 1.846051e+00
 3.313313e-01 -8.926992e-01  1.113458e+00 2.036700e+00
 3.323323e-01 -1.200571e+00  8.949048e-01 2.242226e+00
 3.333333e-01 -1.454368e+00  5.899310e-01 2.463205e+00
 3.343343e-01 -1.629483e+00  2.120248e-01 2.700168e+00
 3.353353e-01 -1.704690e+00 -2.182226e-01 2.953588e+00
 3.363363e-01 -1.664224e+00 -6.739672e-01 3.223873e+00
 3.373373e-01 -1.499644e+00 -1.123577e+00 3.511356e+00
 3.383383e-01 -1.211297e+00 -1.532659e+00 3.816285e+00
 3.393393e-01 -8.092224e-01 -1.866540e+00 4.138811e+00
 3.403403e-01 -3.133315e-01 -2.093037e+00 4.478982e+00
 3.413413e-01  2.472032e-01 -2.185320e+00 4.836731e+00
 3.423423e-01  8.354075e-01 -2.124609e+00 5.211870e+00
 3.433433e-01  1.408764e+00 -1.902488e+00 5.604077e+00
 3.443443e-01  1.922163e+00 -1.522558e+00 6.012894e+00
 3.453453e-01  2.331356e+00 -1.001249e+00 6.437718e+00
 3.463463e-01  2.596662e+00 -3.676177e-01 6.877795e+00
 3.473473e-01  2.686637e+00  3.379410e-01 7.332220e+00
 3.483483e-01  2.581363e+00  1.066066e+00 7.799929e+00
 3.493493e-01  2.275052e+00  1.761772e+00 8.279703e+00
 3.503504e-01  1.777666e+00  2.368559e+00 8.770165e+00
 3.513514e-01  1.115313e+00  2.832996e+00 9.269786e+00
 3.523524e-01  3.293021e-01  3.109413e+00 9.776887e+00
 3.533534e-01 -5.261949e-01  3.164295e+00 1.028965e+01
 3.543544e-01 -1.387771e+00  2.979966e+00 1.080610e+01
 3.553554e-01 -2.187478e+00  2.557170e+00 1.132418e+01
 3.563564e-01 -2.858263e+00  1.916250e+00 1.184168e+01
 3.573574e-01 -3.339698e+00  1.096690e+00 1.235631e+01
 3.583584e-01 -3.583529e+00  1.549680e-01 1.286570e+01
 3.593594e-01 -3.558522e+00 -8.392327e-01 1.336739e+01
 3.603604e-01 -3.254121e+00 -1.808205e+00 1.385891e+01
 3.613614e-01 -2.682510e+00 -2.672427e+00 1.433773e+01
 3.623624e-01 -1.878791e+00 -3.357300e+00 1.480132e+01
 3.633634e-01 -8.991402e-01 -3.799832e+00 1.524718e+01
 3.643644e-01  1.830083e-01 -3.954661e+00 1.567283e+01
 3.653654e-01  1.282518e+00 -3.798818e+00 1.607587e+01
 3.663664e-01  2.309432e+00 -3.334739e+00 1.645396e+01
 3.673674e-01  3.176614e+00 -2.591138e+00 1.680487e+01
 3.683684e-01  3.807498e+00 -1.621563e+00 1.712651e+01
 3.693694e-01  4.143221e+00 -5.006465e-01 1.741693e+01
 3.703704e-01  4.148447e+00  6.817045e-01 1.767434e+01
 3.713714e-01  3.815302e+00  1.827735e+00 1.789714e+01
 3.723724e-01  3.164942e+00  2.840261e+00 1.808394e+01
 3.733734e-01  2.246547e+00  3.631334e+00 1.823356e+01
 3.743744e-01  1.133694e+00  4.130349e+00 1.834504e+01
 3.753754e-01 -8.160201e-02  4.290807e+00 1.841768e+01
 3.763764e-01 -1.296729e+00  4.095059e+00 1.845101e+01
 3.773774e-01 -2.407504e+00  3.556506e+00 1.844481e+01
 3.783784e-01 -3.317568e+00  2.718983e+00 1.839913e+01
 3.793794e-01 -3.947263e+00  1.653289e+00 1.831425e+01
 3.803804e-01 -4.241132e+00  4.511430e-01 1.819073e+01
 3.813814e-01 -4.173291e+00 -7.829345e-01 1.802934e+01
 3.823824e-01 -3.750116e+00 -1.941069e+00 1.783112e+01
 3.833834e-01 -3.009925e+00 -2.921927e+00 1.759731e+01
 3.843844e-01 -2.019639e+00 -3.640114e+00 1.732937e+01
 3.853854e-01 -8.687038e-01 -4.034144e+00 1.702897e+01
 3.863864e-01  3.391790e-01 -4.072210e+00 1.669793e+01
 3.873874e-01  1.495726e+00 -3.755140e+00 1.633827e+01
 3.883884e-01  2.498215e+00 -3.116254e+00 1.595212e+01
 3.893894e-01  3.259112e+00 -2.218091e+00 1.554174e+01
 3.903904e-01  3.714219e+00 -1.146327e+00 1.510949e+01
 3.913914e-01  3.828551e+00 -1.476418e-03 1.465780e+01
 3.923924e-01  3.599343e+00  1.110807e+00 1.418916e+01
 3.933934e-01  3.055910e+00  2.089859e+00 1.370610e+01
 3.943944e-01  2.256362e+00  2.849553e+00 1.321112e+01
 3.953954e-01  1.281550e+00  3.326316e+00 1.270675e+01
