# x psi_r psi_i psi2 
 0.000000e+00 -1.089099e-09  2.086450e-09 5.539411e-18
 2.972973e-01 -1.205331e-02  4.641026e-03 1.668214e-04
 2.982983e-01 -1.403578e-02  2.528653e-03 2.033971e-04
 2.992993e-01 -1.573308e-02 -1.865197e-04 2.475646e-04
 3.003003e-01 -1.698846e-02 -3.492445e-03 3.008049e-04
 3.013013e-01 -1.763460e-02 -7.340729e-03 3.648653e-04
 3.023023e-01 -1.750130e-02 -1.164092e-02 4.418066e-04
 3.033033e-01 -1.642490e-02 -1.625654e-02 5.340522e-04
 3.043043e-01 -1.425960e-02 -2.100262e-02 6.444464e-04
 3.053053e-01 -1.089015e-02 -2.564619e-02 7.763224e-04
 3.063063e-01 -6.245692e-03 -2.990928e-02 9.335738e-04
 3.073073e-01 -3.136172e-04 -3.347609e-02 1.120747e-03
 3.083083e-01  6.846767e-03 -3.600349e-02 1.343129e-03
 3.093093e-01  1.509242e-02 -3.713607e-02 1.606869e-03
 3.103103e-01  2.418717e-02 -3.652486e-02 1.919085e-03
 3.113113e-01  3.379635e-02 -3.385011e-02 2.288023e-03
 3.123123e-01  4.348637e-02 -2.884658e-02 2.723189e-03
 3.133133e-01  5.273059e-02 -2.133143e-02 3.235546e-03
 3.143143e-01  6.092224e-02 -1.123210e-02 3.837679e-03
 3.153153e-01  6.739522e-02  1.386435e-03 4.544038e-03
 3.163163e-01  7.145291e-02  1.629802e-02 5.371144e-03
 3.173173e-01  7.240502e-02  3.309662e-02 6.337873e-03
 3.183183e-01  6.961126e-02  5.118593e-02 7.465727e-03
 3.193193e-01  6.253093e-02  6.977844e-02 8.779148e-03
 3.203203e-01  5.077567e-02  8.790734e-02 1.030587e-02
 3.213213e-01  3.416309e-02  1.044516e-01 1.207726e-02
 3.223223e-01  1.276736e-02  1.181768e-01 1.412877e-02
 3.233233e-01 -1.303683e-02  1.277902e-01 1.650030e-02
 3.243243e-01 -4.254160e-02  1.320111e-01 1.923673e-02
 3.253253e-01 -7.468849e-02  1.296534e-01 2.238836e-02
 3.263263e-01 -1.080709e-01  1.197171e-01 2.601150e-02
 3.273273e-01 -1.409595e-01  1.014857e-01 3.016895e-02
 3.283283e-01 -1.713540e-01  7.462211e-02 3.493066e-02
 3.293293e-01 -1.970614e-01  3.925689e-02 4.037432e-02
 3.303303e-01 -2.158020e-01 -3.937262e-03 4.658600e-02
 3.313313e-01 -2.253391e-01 -5.369480e-02 5.366084e-02
 3.323323e-01 -2.236298e-01 -1.081361e-01 6.170371e-02
 3.333333e-01 -2.089885e-01 -1.647840e-01 7.082995e-02
 3.343343e-01 -1.802551e-01 -2.206221e-01 8.116603e-02
 3.353353e-01 -1.369571e-01 -2.722005e-01 9.285036e-02
 3.363363e-01 -7.945278e-02 -3.157865e-01 1.060339e-01
 3.373373e-01 -9.042458e-03 -3.475616e-01 1.208809e-01
 3.383383e-01  7.196476e-02 -3.638551e-01 1.375695e-01
 3.393393e-01  1.602421e-01 -3.614072e-01 1.562927e-01
 3.403403e-01  2.515032e-01 -3.376456e-01 1.772584e-01
 3.413413e-01  3.406351e-01 -2.909610e-01 2.006906e-01
 3.423423e-01  4.219078e-01 -2.209592e-01 2.268292e-01
 3.433433e-01  4.892594e-01 -1.286704e-01 2.559308e-01
 3.443443e-01  5.366474e-01 -1.669279e-02 2.882691e-01
 3.453453e-01  5.584525e-01  1.107495e-01 3.241346e-01
 3.463463e-01  5.499132e-01  2.478518e-01 3.638350e-01
 3.473473e-01  5.075669e-01  3.873898e-01 4.076951e-01
 3.483483e-01  4.296644e-01  5.210033e-01 4.560560e-01
 3.493493e-01  3.165264e-01  6.395987e-01 5.092754e-01
 3.503504e-01  1.708057e-01  7.338609e-01 5.677264e-01
 3.513514e-01 -2.375599e-03  7.948527e-01 6.317965e-01
 3.523524e-01 -1.954434e-01  8.146710e-01 7.018870e-01
 3.533534e-01 -3.985638e-01  7.871199e-01 7.784109e-01
 3.543544e-01 -6.000204e-01  7.083556e-01 8.617921e-01
 3.553554e-01 -7.867746e-01  5.774496e-01 9.524624e-01
 3.563564e-01 -9.451950e-01  3.968208e-01 1.050860e+00
 3.573574e-01 -1.061922e+00  1.724840e-01 1.157428e+00
 3.583584e-01 -1.124822e+00 -8.592555e-02 1.272609e+00
 3.593594e-01 -1.123983e+00 -3.653840e-01 1.396842e+00
 3.603604e-01 -1.052657e+00 -6.499828e-01 1.530565e+00
 3.613614e-01 -9.081116e-01 -9.217027e-01 1.674203e+00
 3.623624e-01 -6.922732e-01 -1.161433e+00 1.828168e+00
 3.633634e-01 -4.121235e-01 -1.350189e+00 1.992856e+00
 3.643644e-01 -7.976726e-02 -1.470468e+00 2.168640e+00
 3.653654e-01  2.878639e-01 -1.507648e+00 2.355868e+00
 3.663664e-01  6.696948e-01 -1.451332e+00 2.554855e+00
 3.673674e-01  1.041571e+00 -1.296538e+00 2.765880e+00
 3.683684e-01  1.377664e+00 -1.044616e+00 2.989180e+00
 3.693694e-01  1.652156e+00 -7.037961e-01 3.224949e+00
 3.703704e-01  1.841097e+00 -2.892830e-01 3.473323e+00
 3.713714e-01  1.924319e+00  1.771564e-01 3.734388e+00
 3.723724e-01  1.887261e+00  6.681390e-01 4.008165e+00
 3.733734e-01  1.722560e+00  1.152127e+00 4.294607e+00
 3.743744e-01  1.431251e+00  1.595343e+00 4.593600e+00
 3.753754e-01  1.023460e+00  1.964047e+00 4.904951e+00
 3.763764e-01  5.184619e-01  2.227013e+00 5.228391e+00
 3.773774e-01 -5.594042e-02  2.358058e+00 5.563565e+00
 3.783784e-01 -6.647500e-01  2.338406e+00 5.910036e+00
 3.793794e-01 -1.267776e+00  2.158708e+00 6.267275e+00
 3.803804e-01 -1.822207e+00  1.820503e+00 6.634669e+00
 3.813814e-01 -2.285609e+00  1.336975e+00 7.011509e+00
 3.823824e-01 -2.619142e+00  7.328693e-01 7.397000e+00
 3.833834e-01 -2.790764e+00  4.350691e-02 7.790254e+00
 3.843844e-01 -2.778162e+00 -6.871037e-01 8.190294e+00
 3.853854e-01 -2.571153e+00 -1.408981e+00 8.596055e+00
 3.863864e-01 -2.173320e+00 -2.069558e+00 9.006388e+00
 3.873874e-01 -1.602681e+00 -2.617533e+00 9.420064e+00
 3.883884e-01 -8.912782e-01 -3.006892e+00 9.835778e+00
 3.893894e-01 -8.362024e-02 -3.200807e+00 1.025216e+01
 3.903904e-01  7.659748e-01 -3.175067e+00 1.066777e+01
 3.913914e-01  1.596995e+00 -2.920742e+00 1.108113e+01
 3.923924e-01  2.347084e+00 -2.445790e+00 1.149069e+01
 3.933934e-01  2.956820e+00 -1.775417e+00 1.189489e+01
 3.943944e-01  3.374551e+00 -9.510657e-01 1.229212e+01
 3.953954e-01  3.560893e+00 -2.802692e-02 1.268075e+01
 3.963964e-01  3.492501e+00  9.282098e-01 1.305913e+01
 3.973974e-01  3.164735e+00  1.846646e+00 1.342565e+01
 3.983984e-01  2.592956e+00  2.656174e+00 1.377868e+01
 3.993994e-01  1.812236e+00  3.291269e+00 1.411665e+01
 4.004004e-01  8.754341e-01  3.697518e+00 1.443802e+01
 4.014014e-01 -1.502944e-01  3.836499e+00 1.474131e+01
 4.024024e-01 -1.188345e+00  3.689571e+00 1.502510e+01
 4.034034e-01 -2.158522e+00  3.260182e+00 1.528801e+01
 4.044044e-01 -2.983455e+00  2.574439e+00 1.552874e+01
 4.054054e-01 -3.595049e+00  1.679795e+00 1.574609e+01
 4.064064e-01 -3.940423e+00  6.418817e-01 1.593895e+01
